framework_id,section_name,criteria_name,section_weight,criteria_weight,effective_weight,enabled,what_to_check,when_to_check,good_example,bad_example,scoring_method,updated_at
138ad2f0-be78-4a2c-a18c-0e1868002dd7,Section 1: Offer Assistance,Greeting,0.3,0.33,0.099,True,Agent must say company name AND their own name,Always — at very start of call,"Thank you for calling Customer Service Desk, my name is John",What's up? Hey what can I help you with?,binary,2026-03-16 09:22:56.489124
88ec5d08-272e-4948-8bdb-dcdc351be145,Section 1: Offer Assistance,User Authentication,0.3,0.33,0.099,True,Agent must verify User ID or Full Name AND get callback number,Always — before discussing the issue,Can I have your first and last name? And a callback number?,Who is this? Thanks what's up?,binary,2026-03-16 09:22:57.150915
b6206c82-298c-4302-8c48-92f6ed37dfa9,Section 1: Offer Assistance,Offer Assistance,0.3,0.34,0.102,True,"Agent must thank user, call by name, and offer to help",Always — after authentication,"Thank you for that information, how can I help you today?",Silence... waiting for user to explain,binary,2026-03-16 09:22:57.155600
ff66cd89-22d0-42ee-a8a8-889a85193bfc,Section 2: Problem Resolution,Active Listening,0.35,0.25,0.0875,True,Agent asks clarifying questions and confirms understanding,Throughout the call,"Just to confirm, you're saying the device is freezing?",Ok. So restart it.,binary,2026-03-16 09:22:57.159410
79a97f12-db34-4f89-b319-6e155125e96f,Section 2: Problem Resolution,Resolution Provided,0.35,0.35,0.1225,True,Agent provided a clear solution or next steps,Before closing the call,I have resolved the issue. Your files are now on OneDrive.,"I don't know what's wrong, call back later.",binary,2026-03-16 09:22:57.163189
804074e3-f05b-48a9-9930-e21c3049c06b,Section 2: Problem Resolution,Hold Protocol,0.35,0.2,0.07,True,Agent asked permission before hold and thanked after,Whenever placing customer on hold,May I place you on a brief hold? Thank you for holding.,Hold on. [places on hold with no warning],binary,2026-03-16 09:22:57.168873
5a9d849b-cbea-4cc9-8052-08cb78f2aec3,Section 2: Problem Resolution,Escalation Handling,0.35,0.2,0.07,True,Agent correctly escalated or set expectations for follow-up,When issue cannot be resolved,I'll escalate this. You can expect a call within 24 hours.,I can't help you with that. Goodbye.,binary,2026-03-16 09:22:57.172515
c66e7edd-e08b-41b4-bfc5-bbf517f1f259,Section 3: Communication Quality,Professional Tone,0.2,0.5,0.1,True,"Agent maintained calm, professional, empathetic tone",Throughout the entire call,I completely understand how frustrating that must be.,Well that's not my problem.,llm_evaluated,2026-03-16 09:22:57.176109
9408c7ee-8db2-4941-8f96-6c3bc54ee708,Section 3: Communication Quality,Clear Explanation,0.2,0.5,0.1,True,"Agent explained steps in simple, clear language",When providing instructions or solutions,"Click the OneDrive icon, then right-click and select Settings.",Just do the thing with the sync folder config.,llm_evaluated,2026-03-16 09:22:57.179761
64709ec4-e418-4bab-8c86-172cf29330af,Section 4: Call Closing,Issue Confirmation,0.15,0.4,0.06,True,Agent confirmed resolution and asked if anything else needed,Before ending the call,Is there anything else I can help you with today?,Okay bye.,binary,2026-03-16 09:22:57.183494
40d5c801-0583-4231-b904-e7445ede82be,Section 4: Call Closing,Professional Farewell,0.15,0.3,0.045,True,Agent thanked customer and gave a professional goodbye,At the very end of the call,"Thank you for calling, have a great day!",[hangs up without goodbye],binary,2026-03-16 09:22:57.187150
41a1eb19-fb05-4844-b248-6d2f9c84cd0f,Section 4: Call Closing,Recap Provided,0.15,0.3,0.045,True,Agent briefly summarized what was done during the call,During call closing,Today I helped you recover your BitLocker key and free up space.,Okay we're done.,llm_evaluated,2026-03-16 09:22:57.191007
